University Name,LOGO,University Detail 
University of Colorado at Boulder,http://www.shanghairanking.com/_uni/logo/41aff2fed.png,http://www.shanghairanking.com/institution/university-of-colorado-at-boulder
The University of Texas Southwestern Medical Center at Dallas,http://www.shanghairanking.com/_uni/logo/8ab040a7d.png,http://www.shanghairanking.com/institution/the-university-of-texas-southwestern-medical-center-at-dallas
University of Southern California,http://www.shanghairanking.com/_uni/logo/f94b07167.png,http://www.shanghairanking.com/institution/university-of-southern-california
Shanghai Jiao Tong University,http://www.shanghairanking.com/_uni/logo/27403919.png,http://www.shanghairanking.com/institution/shanghai-jiao-tong-university
Utrecht University,http://www.shanghairanking.com/_uni/logo/5063041ca.png,http://www.shanghairanking.com/institution/utrecht-university
Technical University of Munich,http://www.shanghairanking.com/_uni/logo/3d748c924.png,http://www.shanghairanking.com/institution/technical-university-of-munich
"University of California, Santa Barbara",http://www.shanghairanking.com/_uni/logo-jpg/63f81166100.jpg,http://www.shanghairanking.com/institution/university-of-california-santa-barbara
University of Munich,http://www.shanghairanking.com/_uni/logo/6d76dd8bd.png,http://www.shanghairanking.com/institution/university-of-munich
University of Zurich,http://www.shanghairanking.com/_uni/logo/897c2afe4.png,http://www.shanghairanking.com/institution/university-of-zurich
University of Sydney,http://www.shanghairanking.com/_uni/logo/6f7db18c8.png,http://www.shanghairanking.com/institution/university-of-sydney
"University of California, Irvine",http://www.shanghairanking.com/_uni/logo/b1df85949.png,http://www.shanghairanking.com/institution/university-of-california-irvine
University of Geneva,http://www.shanghairanking.com/_uni/logo/7cd1dc0d1.png,http://www.shanghairanking.com/institution/university-of-geneva
University of Science and Technology of China,http://www.shanghairanking.com/_uni/logo/50132214.png,http://www.shanghairanking.com/institution/university-of-science-and-technology-of-china
The University of New South Wales,http://www.shanghairanking.com/_uni/logo/269ebda14.png,http://www.shanghairanking.com/institution/the-university-of-new-south-wales
Vanderbilt University,http://www.shanghairanking.com/_uni/logo/bb01ff238.png,http://www.shanghairanking.com/institution/vanderbilt-university
University of Groningen,http://www.shanghairanking.com/_uni/logo/cb5787d1f.png,http://www.shanghairanking.com/institution/university-of-groningen
Fudan University,http://www.shanghairanking.com/_uni/logo/28312850.png,http://www.shanghairanking.com/institution/fudan-university
University of Oslo,http://www.shanghairanking.com/_uni/logo/2d1aa99b3.png,http://www.shanghairanking.com/institution/university-of-oslo
Aarhus University,http://www.shanghairanking.com/_uni/logo/0ec23abb4.png,http://www.shanghairanking.com/institution/aarhus-university
Heidelberg University,http://www.shanghairanking.com/_uni/logo/c1b74c074.png,http://www.shanghairanking.com/institution/heidelberg-university
National University of Singapore,http://www.shanghairanking.com/_uni/logo/31943e0cb.png,http://www.shanghairanking.com/institution/national-university-of-singapore
The University of Texas M. D. Anderson Cancer Center,http://www.shanghairanking.com/_uni/logo/1100fcdc8.png,http://www.shanghairanking.com/institution/the-university-of-texas-m-d-anderson-cancer-center
McGill University,http://www.shanghairanking.com/_uni/logo/88d833c3e.png,http://www.shanghairanking.com/institution/mcgill-university
Ghent University,http://www.shanghairanking.com/_uni/logo/a05682830.png,http://www.shanghairanking.com/institution/ghent-university
Monash University,http://www.shanghairanking.com/_uni/logo/6d8339a6f.png,http://www.shanghairanking.com/institution/monash-university
University of Bonn,http://www.shanghairanking.com/_uni/logo/68c81f6c8.png,http://www.shanghairanking.com/institution/university-of-bonn
The Hebrew University of Jerusalem,http://www.shanghairanking.com/_uni/logo/ee11c32f8.png,http://www.shanghairanking.com/institution/the-hebrew-university-of-jerusalem
Université Paris Cité,http://www.shanghairanking.com/_uni/logo-jpg/a37a44c0a00.jpg,http://www.shanghairanking.com/institution/university-of-paris
Sun Yat-sen University,http://www.shanghairanking.com/_uni/logo/46293852.png,http://www.shanghairanking.com/institution/sun-yat-sen-university
The Australian National University,http://www.shanghairanking.com/_uni/logo/e6233a5b3.png,http://www.shanghairanking.com/institution/the-australian-national-university
University of Bristol,http://www.shanghairanking.com/_uni/logo/73d83b1e4.png,http://www.shanghairanking.com/institution/university-of-bristol
University of Pittsburgh,http://www.shanghairanking.com/_uni/logo/bfcc56ad8.png,http://www.shanghairanking.com/institution/university-of-pittsburgh
Purdue University - West Lafayette,http://www.shanghairanking.com/_uni/logo/2ef5fbfcc.png,http://www.shanghairanking.com/institution/purdue-university-west-lafayette
Technion-Israel Institute of Technology,http://www.shanghairanking.com/_uni/logo/547232002.png,http://www.shanghairanking.com/institution/technion-israel-institute-of-technology
University of Basel,http://www.shanghairanking.com/_uni/logo/4b95c2a51.png,http://www.shanghairanking.com/institution/university-of-basel
Weizmann Institute of Science,http://www.shanghairanking.com/_uni/logo/f5dfa93ce.png,http://www.shanghairanking.com/institution/weizmann-institute-of-science
Erasmus University Rotterdam,http://www.shanghairanking.com/_uni/logo/7dc2ef049.png,http://www.shanghairanking.com/institution/erasmus-university-rotterdam
Nanyang Technological University,http://www.shanghairanking.com/_uni/logo/f3d48b4a3.png,http://www.shanghairanking.com/institution/nanyang-technological-university
Uppsala University,http://www.shanghairanking.com/_uni/logo/8e0a7d1d4.png,http://www.shanghairanking.com/institution/uppsala-university
McMaster University,http://www.shanghairanking.com/_uni/logo/0f693978a.png,http://www.shanghairanking.com/institution/mcmaster-university
Stockholm University,http://www.shanghairanking.com/_uni/logo/bd0e71ccb.png,http://www.shanghairanking.com/institution/stockholm-university
University of Alberta,http://www.shanghairanking.com/_uni/logo/f1242c7ae.png,http://www.shanghairanking.com/institution/university-of-alberta
University of Helsinki,http://www.shanghairanking.com/_uni/logo/174aa57e2.png,http://www.shanghairanking.com/institution/university-of-helsinki
University of Florida,http://www.shanghairanking.com/_uni/logo/a1fc569d1.png,http://www.shanghairanking.com/institution/university-of-florida
KU Leuven,http://www.shanghairanking.com/_uni/logo/666263d88.png,http://www.shanghairanking.com/institution/ku-leuven
Huazhong University of Science and Technology,http://www.shanghairanking.com/_uni/logo/69664504.png,http://www.shanghairanking.com/institution/huazhong-university-of-science-and-technology
The University of Hong Kong,http://www.shanghairanking.com/_uni/logo/cbf530ad3.png,http://www.shanghairanking.com/institution/the-university-of-hong-kong
Seoul National University,http://www.shanghairanking.com/_uni/logo/4d302fc4e.png,http://www.shanghairanking.com/institution/seoul-national-university
Brown University,http://www.shanghairanking.com/_uni/logo/3d8b527ff.png,http://www.shanghairanking.com/institution/brown-university
The University of Western Australia,http://www.shanghairanking.com/_uni/logo/535124d88.png,http://www.shanghairanking.com/institution/the-university-of-western-australia
Aix Marseille University,http://www.shanghairanking.com/_uni/logo/db573f4a7.png,http://www.shanghairanking.com/institution/aix-marseille-university
Arizona State University,http://www.shanghairanking.com/_uni/logo/4b703d82d.png,http://www.shanghairanking.com/institution/arizona-state-university
Boston University,http://www.shanghairanking.com/_uni/logo/cbbf3b6e2.png,http://www.shanghairanking.com/institution/boston-university
Carnegie Mellon University,http://www.shanghairanking.com/_uni/logo/e1f857b46.png,http://www.shanghairanking.com/institution/carnegie-mellon-university
Case Western Reserve University,http://www.shanghairanking.com/_uni/logo/885955e6b.png,http://www.shanghairanking.com/institution/case-western-reserve-university
Central South University,http://www.shanghairanking.com/_uni/logo/65984093.png,http://www.shanghairanking.com/institution/central-south-university
Emory University,http://www.shanghairanking.com/_uni/logo/7489183e0.png,http://www.shanghairanking.com/institution/emory-university
Icahn School of Medicine at Mount Sinai,http://www.shanghairanking.com/_uni/logo-jpg/a23fc3bb300.jpg,http://www.shanghairanking.com/institution/icahn-school-of-medicine-at-mount-sinai
Indiana University Bloomington,http://www.shanghairanking.com/_uni/logo/7a6b45fcc.png,http://www.shanghairanking.com/institution/indiana-university-bloomington
King Abdulaziz University,http://www.shanghairanking.com/_uni/logo-jpg/ca4482ae600.jpg,http://www.shanghairanking.com/institution/king-abdulaziz-university
King Saud University,http://www.shanghairanking.com/_uni/logo/a8ed57dd5.png,http://www.shanghairanking.com/institution/king-saud-university
Leiden University,http://www.shanghairanking.com/_uni/logo/970699879.png,http://www.shanghairanking.com/institution/leiden-university
London School of Economics and Political Science,http://www.shanghairanking.com/_uni/logo/21a6b0778.png,http://www.shanghairanking.com/institution/london-school-of-economics-and-political-science
Mayo Clinic Alix School of Medicine,http://www.shanghairanking.com/_uni/logo-jpg/d60a8d8e800.jpg,http://www.shanghairanking.com/institution/mayo-clinic-alix-school-of-medicine
Moscow State University,http://www.shanghairanking.com/_uni/logo/98123a275.png,http://www.shanghairanking.com/institution/moscow-state-university
Nagoya University,http://www.shanghairanking.com/_uni/logo/958492796.png,http://www.shanghairanking.com/institution/nagoya-university
Nanjing University,http://www.shanghairanking.com/_uni/logo/44696062.png,http://www.shanghairanking.com/institution/nanjing-university
Norwegian University of Science and Technology - NTNU,http://www.shanghairanking.com/_uni/logo/5cbe779ad.png,http://www.shanghairanking.com/institution/norwegian-university-of-science-and-technology-ntnu
Radboud University Nijmegen,http://www.shanghairanking.com/_uni/logo/6759d15cf.png,http://www.shanghairanking.com/institution/radboud-university-nijmegen
Rice University,http://www.shanghairanking.com/_uni/logo/3bd736da6.png,http://www.shanghairanking.com/institution/rice-university
"Rutgers, The State University of New Jersey - New Brunswick",http://www.shanghairanking.com/_uni/logo/c01c983b9.png,http://www.shanghairanking.com/institution/rutgers-the-state-university-of-new-jersey-new-brunswick
Sapienza University of Rome,http://www.shanghairanking.com/_uni/logo/7ecaa1198.png,http://www.shanghairanking.com/institution/sapienza-university-of-rome
Sichuan University,http://www.shanghairanking.com/_uni/logo/75651370.png,http://www.shanghairanking.com/institution/sichuan-university
Swiss Federal Institute of Technology Lausanne,http://www.shanghairanking.com/_uni/logo/1946ead7f.png,http://www.shanghairanking.com/institution/swiss-federal-institute-of-technology-lausanne
The Chinese University of Hong Kong,http://www.shanghairanking.com/_uni/logo/d7b4fe8fe.png,http://www.shanghairanking.com/institution/the-chinese-university-of-hong-kong
The Ohio State University - Columbus,http://www.shanghairanking.com/_uni/logo/1ccdfc090.png,http://www.shanghairanking.com/institution/the-ohio-state-university-columbus
Pennsylvania State University - University Park,http://www.shanghairanking.com/_uni/logo/1069b7da2.png,http://www.shanghairanking.com/institution/pennsylvania-state-university-university-park
The University of Adelaide,http://www.shanghairanking.com/_uni/logo/13e383993.png,http://www.shanghairanking.com/institution/the-university-of-adelaide
The University of Glasgow,http://www.shanghairanking.com/_uni/logo-jpg/f072bed2b00.jpg,http://www.shanghairanking.com/institution/the-university-of-glasgow
The University of Sheffield,http://www.shanghairanking.com/_uni/logo/08629522c.png,http://www.shanghairanking.com/institution/the-university-of-sheffield
Université Grenoble Alpes,http://www.shanghairanking.com/_uni/logo/85f28315e.png,http://www.shanghairanking.com/institution/universit-grenoble-alpes
Université libre de Bruxelles (ULB),http://www.shanghairanking.com/_uni/logo/64cca2113.png,http://www.shanghairanking.com/institution/universit-libre-de-bruxelles-ulb
University of Amsterdam,http://www.shanghairanking.com/_uni/logo/054e1350c.png,http://www.shanghairanking.com/institution/university-of-amsterdam
University of Arizona,http://www.shanghairanking.com/_uni/logo/b51ca4f00.png,http://www.shanghairanking.com/institution/university-of-arizona
University of Bern,http://www.shanghairanking.com/_uni/logo/0881a5f78.png,http://www.shanghairanking.com/institution/university-of-bern
University of Birmingham,http://www.shanghairanking.com/_uni/logo/aac49270e.png,http://www.shanghairanking.com/institution/university-of-birmingham
"University of California, Davis",http://www.shanghairanking.com/_uni/logo/59eef6399.png,http://www.shanghairanking.com/institution/university-of-california-davis
University of Exeter,http://www.shanghairanking.com/_uni/logo/e757ee576.png,http://www.shanghairanking.com/institution/university-of-exeter
University of Freiburg,http://www.shanghairanking.com/_uni/logo/023a63f53.png,http://www.shanghairanking.com/institution/university-of-freiburg
University of Gothenburg,http://www.shanghairanking.com/_uni/logo/2419f8b06.png,http://www.shanghairanking.com/institution/university-of-gothenburg
University of Lausanne,http://www.shanghairanking.com/_uni/logo/5051a54b0.png,http://www.shanghairanking.com/institution/university-of-lausanne
University of Liverpool,http://www.shanghairanking.com/_uni/logo/d951c4194.png,http://www.shanghairanking.com/institution/university-of-liverpool
University of Montreal,http://www.shanghairanking.com/_uni/logo/b0c53560f.png,http://www.shanghairanking.com/institution/university-of-montreal
University of Nottingham,http://www.shanghairanking.com/_uni/logo/0bf332f99.png,http://www.shanghairanking.com/institution/university-of-nottingham
University of Sao Paulo,http://www.shanghairanking.com/_uni/logo/439ebbf7b.png,http://www.shanghairanking.com/institution/university-of-sao-paulo
University of Strasbourg,http://www.shanghairanking.com/_uni/logo/cffce1361.png,http://www.shanghairanking.com/institution/university-of-strasbourg
University of Utah,http://www.shanghairanking.com/_uni/logo/755c0861c.png,http://www.shanghairanking.com/institution/university-of-utah
University of Warwick,http://www.shanghairanking.com/_uni/logo/90bb99399.png,http://www.shanghairanking.com/institution/university-of-warwick
Wuhan University,http://www.shanghairanking.com/_uni/logo/46182017.png,http://www.shanghairanking.com/institution/wuhan-university
Xi'an Jiaotong University,http://www.shanghairanking.com/_uni/logo/77584005.png,http://www.shanghairanking.com/institution/xian-jiaotong-university
Baylor College of Medicine,http://www.shanghairanking.com/_uni/logo/413ba3e0b.png,http://www.shanghairanking.com/institution/baylor-college-of-medicine
Beijing Institute of Technology,http://www.shanghairanking.com/_uni/logo/85386135.png,http://www.shanghairanking.com/institution/beijing-institute-of-technology
Cardiff University,http://www.shanghairanking.com/_uni/logo/0d9ee072c.png,http://www.shanghairanking.com/institution/cardiff-university
City University of Hong Kong,http://www.shanghairanking.com/_uni/logo/ed73d6ca9.png,http://www.shanghairanking.com/institution/city-university-of-hong-kong
Delft University of Technology,http://www.shanghairanking.com/_uni/logo/a0e573fe4.png,http://www.shanghairanking.com/institution/delft-university-of-technology
Georgia Institute of Technology,http://www.shanghairanking.com/_uni/logo/ce6aa6357.png,http://www.shanghairanking.com/institution/georgia-institute-of-technology
Goethe University Frankfurt,http://www.shanghairanking.com/_uni/logo/4c5e6a039.png,http://www.shanghairanking.com/institution/goethe-university-frankfurt
Harbin Institute of Technology,http://www.shanghairanking.com/_uni/logo/88331082.png,http://www.shanghairanking.com/institution/harbin-institute-of-technology
Jilin University,http://www.shanghairanking.com/_uni/logo/76557044.png,http://www.shanghairanking.com/institution/jilin-university
London School of Hygiene & Tropical Medicine,http://www.shanghairanking.com/_uni/logo/44c92e762.png,http://www.shanghairanking.com/institution/london-school-of-hygiene-tropical-medicine
Lund University,http://www.shanghairanking.com/_uni/logo/165fbbe8f.png,http://www.shanghairanking.com/institution/lund-university
Michigan State University,http://www.shanghairanking.com/_uni/logo/3be5907be.png,http://www.shanghairanking.com/institution/michigan-state-university
Northwestern Polytechnical University,http://www.shanghairanking.com/_uni/logo/20384817.png,http://www.shanghairanking.com/institution/northwestern-polytechnical-university
Osaka University,http://www.shanghairanking.com/_uni/logo/433a187e9.png,http://www.shanghairanking.com/institution/osaka-university
Shandong University,http://www.shanghairanking.com/_uni/logo/97189370.png,http://www.shanghairanking.com/institution/shandong-university
Soochow University (China),http://www.shanghairanking.com/_uni/logo/44374737.png,http://www.shanghairanking.com/institution/soochow-university-china
South China University of Technology,http://www.shanghairanking.com/_uni/logo/69348939.png,http://www.shanghairanking.com/institution/south-china-university-of-technology
Southeast University,http://www.shanghairanking.com/_uni/logo/82819451.png,http://www.shanghairanking.com/institution/southeast-university
Southern University of Science and Technology,http://www.shanghairanking.com/_uni/logo/22950445.png,http://www.shanghairanking.com/institution/southern-university-of-science-and-technology
Technical University of Denmark,http://www.shanghairanking.com/_uni/logo/2a23ba513.png,http://www.shanghairanking.com/institution/technical-university-of-denmark
Tel Aviv University,http://www.shanghairanking.com/_uni/logo/3384913de.png,http://www.shanghairanking.com/institution/tel-aviv-university
Texas A&M University,http://www.shanghairanking.com/_uni/logo/df03442c2.png,http://www.shanghairanking.com/institution/texas-a-m-university
The Hong Kong Polytechnic University,http://www.shanghairanking.com/_uni/logo/bb2e43056.png,http://www.shanghairanking.com/institution/the-hong-kong-polytechnic-university
The University of Calgary,http://www.shanghairanking.com/_uni/logo/2728e064d.png,http://www.shanghairanking.com/institution/the-university-of-calgary
Tianjin University,http://www.shanghairanking.com/_uni/logo/74813674.png,http://www.shanghairanking.com/institution/tianjin-university
Tohoku University,http://www.shanghairanking.com/_uni/logo/cd197349d.png,http://www.shanghairanking.com/institution/tohoku-university
Tokyo Institute of Technology,http://www.shanghairanking.com/_uni/logo/b7135745d.png,http://www.shanghairanking.com/institution/tokyo-institute-of-technology
Tongji University,http://www.shanghairanking.com/_uni/logo/39174907.png,http://www.shanghairanking.com/institution/tongji-university
Trinity College Dublin,http://www.shanghairanking.com/_uni/logo/a5359bee7.png,http://www.shanghairanking.com/institution/trinity-college-dublin
Tufts University,http://www.shanghairanking.com/_uni/logo/a74ac6721.png,http://www.shanghairanking.com/institution/tufts-university
University of Barcelona,http://www.shanghairanking.com/_uni/logo/bb05b95cc.png,http://www.shanghairanking.com/institution/university-of-barcelona
"University of California, Santa Cruz",http://www.shanghairanking.com/_uni/logo/9ca868f71.png,http://www.shanghairanking.com/institution/university-of-california-santa-cruz
University of Cologne,http://www.shanghairanking.com/_uni/logo/0e5b47b25.png,http://www.shanghairanking.com/institution/university-of-cologne
University of Electronic Science and Technology of China,http://www.shanghairanking.com/_uni/logo/55538407.png,http://www.shanghairanking.com/institution/university-of-electronic-science-and-technology-of-china
University of Goettingen,http://www.shanghairanking.com/_uni/logo/f34acde58.png,http://www.shanghairanking.com/institution/university-of-goettingen
University of Leeds,http://www.shanghairanking.com/_uni/logo/6dd8db10a.png,http://www.shanghairanking.com/institution/university-of-leeds
University of Massachusetts Amherst,http://www.shanghairanking.com/_uni/logo/cc867307c.png,http://www.shanghairanking.com/institution/university-of-massachusetts-amherst
University of Milan,http://www.shanghairanking.com/_uni/logo/22f0a5d5b.png,http://www.shanghairanking.com/institution/university-of-milan
University of Montpellier,http://www.shanghairanking.com/_uni/logo/494a1c1f0.png,http://www.shanghairanking.com/institution/university-of-montpellier
University of Padua,http://www.shanghairanking.com/_uni/logo/290d176ce.png,http://www.shanghairanking.com/institution/university-of-padua
University of Pisa,http://www.shanghairanking.com/_uni/logo/a979256d7.png,http://www.shanghairanking.com/institution/university-of-pisa
University of Rochester,http://www.shanghairanking.com/_uni/logo/9fac3887f.png,http://www.shanghairanking.com/institution/university-of-rochester
University of Southampton,http://www.shanghairanking.com/_uni/logo/ed12f6724.png,http://www.shanghairanking.com/institution/university-of-southampton
University of Sussex,http://www.shanghairanking.com/_uni/logo-jpg/a488c8b5400.jpg,http://www.shanghairanking.com/institution/university-of-sussex
University of Tuebingen,http://www.shanghairanking.com/_uni/logo/ffb5a5c9e.png,http://www.shanghairanking.com/institution/university-of-tuebingen
University of Vienna,http://www.shanghairanking.com/_uni/logo/442aa1711.png,http://www.shanghairanking.com/institution/university-of-vienna
University of Waterloo,http://www.shanghairanking.com/_uni/logo/afeac310e.png,http://www.shanghairanking.com/institution/university-of-waterloo
Vrije Universiteit Amsterdam,http://www.shanghairanking.com/_uni/logo/9882fdffd.png,http://www.shanghairanking.com/institution/vrije-universiteit-amsterdam
Wageningen University & Research,http://www.shanghairanking.com/_uni/logo/e48392d63.png,http://www.shanghairanking.com/institution/wageningen-university-research
Xiamen University,http://www.shanghairanking.com/_uni/logo/14008229.png,http://www.shanghairanking.com/institution/xiamen-university
Autonomous University of Barcelona,http://www.shanghairanking.com/_uni/logo/ae2a39e54.png,http://www.shanghairanking.com/institution/autonomous-university-of-barcelona
Beihang University,http://www.shanghairanking.com/_uni/logo/22403670.png,http://www.shanghairanking.com/institution/beihang-university
Beijing Normal University,http://www.shanghairanking.com/_uni/logo/38816505.png,http://www.shanghairanking.com/institution/beijing-normal-university
Catholic University of Louvain,http://www.shanghairanking.com/_uni/logo/ad05feb78.png,http://www.shanghairanking.com/institution/catholic-university-of-louvain
China Agricultural University,http://www.shanghairanking.com/_uni/logo/48410070.png,http://www.shanghairanking.com/institution/china-agricultural-university
China Medical University (Taichung),http://www.shanghairanking.com/_uni/logo/e4e511a59.png,http://www.shanghairanking.com/institution/china-medical-university-taichung
Chongqing University,http://www.shanghairanking.com/_uni/logo/79822387.png,http://www.shanghairanking.com/institution/chongqing-university
Claude Bernard University Lyon 1,http://www.shanghairanking.com/_uni/logo/bfcb2841f.png,http://www.shanghairanking.com/institution/claude-bernard-university-lyon-1
Colorado State University,http://www.shanghairanking.com/_uni/logo/5890dd554.png,http://www.shanghairanking.com/institution/colorado-state-university
Complutense University of Madrid,http://www.shanghairanking.com/_uni/logo/5d01436ca.png,http://www.shanghairanking.com/institution/complutense-university-of-madrid
Curtin University,http://www.shanghairanking.com/_uni/logo/99e4b9934.png,http://www.shanghairanking.com/institution/curtin-university
Dalian University of Technology,http://www.shanghairanking.com/_uni/logo/54289554.png,http://www.shanghairanking.com/institution/dalian-university-of-technology
Deakin University,http://www.shanghairanking.com/_uni/logo/b20086809.png,http://www.shanghairanking.com/institution/deakin-university
East China Normal University,http://www.shanghairanking.com/_uni/logo/47430452.png,http://www.shanghairanking.com/institution/east-china-normal-university
Florida State University,http://www.shanghairanking.com/_uni/logo/731b432f8.png,http://www.shanghairanking.com/institution/florida-state-university
George Mason University,http://www.shanghairanking.com/_uni/logo/ba8ac68f7.png,http://www.shanghairanking.com/institution/george-mason-university
Griffith University,http://www.shanghairanking.com/_uni/logo/bdd9a6db5.png,http://www.shanghairanking.com/institution/griffith-university
Hanyang University,http://www.shanghairanking.com/_uni/logo/33d276332.png,http://www.shanghairanking.com/institution/hanyang-university
